match_dir,M,p,lam,seed,seat,agent,kind,mean_coop,mean_reward,total_reward,switch_rate,gtft_match_rate,final_action,final_coop
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.20__l0.60__s101,2,0.2,0.6,101,4,grok_41_fast,llm,0.06,0.5822343562981366,29.11171781490683,0.06,0.9,1,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.00__s101,3,0.0,0.0,101,0,always_cooperate,deterministic,1.0,0.5,25.0,0.0,1.0,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.00__s101,3,0.0,0.0,101,1,always_defect,deterministic,0.0,2.0,100.0,0.0,0.0,2,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.00__s101,3,0.0,0.0,101,2,graded_tft,deterministic,1.0,0.5,25.0,0.0,1.0,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.00__s101,3,0.0,0.0,101,3,gpt4o_mini,llm,1.0,0.5,25.0,0.0,1.0,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.00__s101,3,0.0,0.0,101,4,grok_41_fast,llm,1.0,0.5,25.0,0.0,1.0,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.30__s101,3,0.0,0.3,101,0,always_cooperate,deterministic,1.0,0.9141581754368235,45.707908771841176,0.0,1.0,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.30__s101,3,0.0,0.3,101,1,always_defect,deterministic,0.0,2.5522109005824314,127.61054502912157,0.0,0.0,2,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.30__s101,3,0.0,0.3,101,2,graded_tft,deterministic,1.0,0.9141581754368235,45.707908771841176,0.0,1.0,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.30__s101,3,0.0,0.3,101,3,gpt4o_mini,llm,1.0,0.9141581754368235,45.707908771841176,0.0,1.0,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.30__s101,3,0.0,0.3,101,4,grok_41_fast,llm,1.0,0.9141581754368235,45.707908771841176,0.0,1.0,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.60__s101,3,0.0,0.6,101,0,always_cooperate,deterministic,1.0,1.328316350873647,66.41581754368235,0.0,1.0,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.60__s101,3,0.0,0.6,101,1,always_defect,deterministic,0.0,3.1044218011648628,155.22109005824313,0.0,0.0,2,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.60__s101,3,0.0,0.6,101,2,graded_tft,deterministic,1.0,1.328316350873647,66.41581754368235,0.0,1.0,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.60__s101,3,0.0,0.6,101,3,gpt4o_mini,llm,1.0,1.328316350873647,66.41581754368235,0.0,1.0,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.00__l0.60__s101,3,0.0,0.6,101,4,grok_41_fast,llm,1.0,1.328316350873647,66.41581754368235,0.0,1.0,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.00__s101,3,0.1,0.0,101,0,always_cooperate,deterministic,1.0,-0.275,-13.75,0.0,0.04,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.00__s101,3,0.1,0.0,101,1,always_defect,deterministic,0.0,1.225,61.25,0.0,0.0,2,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.00__s101,3,0.1,0.0,101,2,graded_tft,deterministic,0.52,0.445,22.25,0.02,1.0,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.00__s101,3,0.1,0.0,101,3,gpt4o_mini,llm,0.52,0.445,22.25,0.02,1.0,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.00__s101,3,0.1,0.0,101,4,grok_41_fast,llm,0.41,0.61,30.5,0.16,0.78,2,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.30__s101,3,0.1,0.3,101,0,always_cooperate,deterministic,1.0,-0.24726318630593838,-12.363159315296919,0.0,0.04,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.30__s101,3,0.1,0.3,101,1,always_defect,deterministic,0.0,1.2630522316668413,63.15261158334207,0.0,0.0,2,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.30__s101,3,0.1,0.3,101,2,graded_tft,deterministic,0.52,0.47759845970011416,23.87992298500571,0.02,1.0,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.30__s101,3,0.1,0.3,101,3,gpt4o_mini,llm,0.54,0.4462229619062343,22.311148095311715,0.02,0.96,1,0.5
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.30__s101,3,0.1,0.3,101,4,grok_41_fast,llm,0.41,0.6425984597001141,32.129922985005706,0.16,0.78,2,0.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.60__s101,3,0.1,0.6,101,0,always_cooperate,deterministic,1.0,-0.22952637261187672,-11.476318630593836,0.0,0.04,0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m3__p0.10__l0.60__s101,3,0.1,0.6,101,1,always_defect,deterministic,0.0,1.2911044633336828,64.55522316668414,0.0,0.0,2,0.0
