match_dir,match_id,seed,model_raw,model,baseline_raw,baseline,mean_coop,mean_payoff,early_coop,late_coop,delta_late_minus_early,switch_rate,retaliation,forgiveness,num_rounds,agent_output_files,agent_output_chars
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__wsls__seed102,deepseek_v32__vs__wsls__seed102,102,deepseek_v32,DeepSeek-V3.2,wsls,WSLS,0.99,1.190329697333156,0.95,1.0,0.050000000000000044,0.02040816326530612,,,50,2,237177
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__wsls__seed103,deepseek_v32__vs__wsls__seed103,103,deepseek_v32,DeepSeek-V3.2,wsls,WSLS,1.0,8.282597959447505,1.0,1.0,0.0,0.0,0.0,,50,2,230700
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__wsls__seed104,deepseek_v32__vs__wsls__seed104,104,deepseek_v32,DeepSeek-V3.2,wsls,WSLS,0.935,1.7612699943872017,1.0,1.0,0.0,0.16326530612244897,0.4444444444444444,,50,2,235056
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__wsls__seed105,deepseek_v32__vs__wsls__seed105,105,deepseek_v32,DeepSeek-V3.2,wsls,WSLS,0.965,8.379672240747277,0.95,0.875,-0.07499999999999996,0.04081632653061224,,,50,2,233669
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__always_cooperate__seed101,gemma3_27b__vs__always_cooperate__seed101,101,gemma3_27b,Gemma-3-27B,always_cooperate,Always Cooperate,0.0,11.468,0.0,0.0,0.0,0.0,,0.0,50,2,255575
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__always_cooperate__seed102,gemma3_27b__vs__always_cooperate__seed102,102,gemma3_27b,Gemma-3-27B,always_cooperate,Always Cooperate,0.0,11.476354166666665,0.0,0.0,0.0,0.0,,0.0,50,2,258780
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__always_cooperate__seed103,gemma3_27b__vs__always_cooperate__seed103,103,gemma3_27b,Gemma-3-27B,always_cooperate,Always Cooperate,0.0,11.883058970360526,0.0,0.0,0.0,0.0,,0.0,50,2,258735
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__always_cooperate__seed104,gemma3_27b__vs__always_cooperate__seed104,104,gemma3_27b,Gemma-3-27B,always_cooperate,Always Cooperate,0.0,11.36260852472002,0.0,0.0,0.0,0.0,,0.0,50,2,259115
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__always_cooperate__seed105,gemma3_27b__vs__always_cooperate__seed105,105,gemma3_27b,Gemma-3-27B,always_cooperate,Always Cooperate,0.0,11.64321333579815,0.0,0.0,0.0,0.0,,0.0,50,2,258135
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__always_defect__seed101,gemma3_27b__vs__always_defect__seed101,101,gemma3_27b,Gemma-3-27B,always_defect,Always Defect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,2,255214
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\gemma3_27b__vs__always_defect__seed102,gemma3_27b__vs__always_defect__seed102,102,gemma3_27b,Gemma-3-27B,always_defect,Always Defect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,2,255493
